Kamprecht	405																																																																										
Kandinski	31	43	60	65	95	96	104	121	158	176	244	277	284	291	304	327	376	418	452	459	471	479																																																					
Kanold(t)	176	225	260	304	376	388	400	429	465	471																																																																	
Kars	158	260	376	429	465																																																																						
Karsch	31	85	176	284	429																																																																						
Kaspar	429																																																																										
Katz	202	211	312	368																																																																							
Kaue	291																																																																										
Kaufmann	137																																																																										
Kaus	31	43	52	85	150	211	260	327	338	358	363	376	389	418	429																																																												
Kayser	298																																																																										
Keller	31	176																																																																									
Kempe	405																																																																										
Kempe-Herzberg	43																																																																										
Kempter	176	177																																																																									
Kerkovius	312	429	438																																																																								
Kerschbaum	137	177																																																																									
Kerschkamp	137	150	429	471																																																																							
Kerschbaumer	32	291	376	465																																																																							
Kesselkaul	8																																																																										
Kessler	389																																																																										
Kesting	121	202	211																																																																								
Kiekebusch	121																																																																										
Kieseritzky	318																																																																										
Kind	116																																																																										
Kinzinger	459																																																																										
Kirchner	19	20	32	55	65	66	77	85	86	104	110	111	121	137	498	159	177	178	211	212	244	260	261	262	277	291	299	300	301	302	303	304	312	344	350	358	363	376	394	397	408	429	432	438	439	444	452	459	471	479																									
Kirschbaum	99																																																																										
Kisling	376																																																																										
Kiwitz	66	150	231	232																																																																							
Klabund-Seewald	363																																																																										
Klee	20	32	55	65	85	92	96	104	121	159	178	212	244	291	308	333	338	350	358	363	368	376	394	418	429	439	444	452	459	465	471	479																																											
Klein	178	262	376	405																																																																							
Kleinert	60																																																																										
Kleinschmidt	20	21	32	86	96	212	291	350	376	432																																																																	
Klein-Schmidt	363																																																																										
Klemm	137	159	452																																																																								
Klimt	376																																																																										
Kling	225																																																																										
Klinger, J	178																																																																										
Klinker	465																																																																										
Kloss-Grege	78																																																																										
Klossowsky	43	429	452																																																																								
Kluth	32	262	263	277	338	409																																																																					
Knappe	439																																																																										
Knaus	377																																																																										
Knecht	212																																																																										
Knotterus-Meyer	218																																																																										
Kock	358																																																																										
Kogan	86	101	159	178	239	277	278	308	312	444	471																																																																
Kohl	350																																																																										
Kohler	429																																																																										
Kohlhoff	33	96	316	377	452																																																																						
Kohlschein	138																																																																										
Kokoschka	21	22	33	47	55	66	78	86	96	99	104	111	112	121	122	138	150	159	178	179	212	245	236	264	284	285	291	304	308	312	320	321	327	333	338	344	350	358	363	368	377	386	391	405	418	419	429	430	439	405	418	419	429	430	439	445	452	459	472	479															
Kolbe	160																																																																										
Kolde	327	338																																																																									
Kolig	439																																																																										
Kolk	229																																																																										
Kolle	212	316																																																																									
Kollwitz	43	47	138	160	225	285	344	412	419	430	453																																																																
Kopp	285																																																																										
Koschnitzky	338																																																																										
Kost	283																																																																										
Kottenkamp	47																																																																										
Kowalsky	60																																																																										
Kowol	45																																																																										
Kozel	463																																																																										
Kölschbach	327																																																																										
König von	33	55	225																																																																								
Körmendy	405																																																																										
Körte	430																																																																										
Krammer	47																																																																										
Kranz	150	202	225																																																																								
Krauskopf	22	33	43	96	212	344																																																																					
Kraya	264																																																																										
Kreidt	179																																																																										
Kretschmar	55	66	86	104	112	122	179	350	377	419	472	479																																																															
Kreuschen	202																																																																										
Kreutter	222																																																																										
Kreuzhage	150																																																																										
Kriegel	405																																																																										
Kriete	55																																																																										
Kronenberg	138	264	278	327	358																																																																						
Krüger	179																																																																										
Kruse	138																																																																										
Kubin	51	52	55	66	96	112	160	212	225	235	291	315	327	333	344	350	364	368	377	430	453	472																																																					
Kufittich	368																																																																										
Kuhfuss	43																																																																										
Kuhlen	344																																																																										
Kuhmichel	283	462																																																																									
Kuisl	389																																																																										
Kuhn	138																																																																										
Kuhr	278																																																																										
Kulmann	150																																																																										
Kunau	338																																																																										
Kunowski	138																																																																										
Kunstreich	409	430																																																																									
Kunstschule Saarbrücken	419																																																																										
Kunze	351																																																																										
Kurau	122																																																																										
Kurth	11																																																																										
Kühn	99	430	439																																																																								
Küpper	138	327																																																																									
Laage	344																																																																										
Lachnit (u. Kubin)	112	472																																																																									
Ladengast	33																																																																										
Lahs	138																																																																										
Lammeyer	66	212																																																																									
Lang	327	351																																																																									
Lange	22	55	78	86	92	104	112	122	160	212	247	264	318	351	377	445	472	478																																																									
Lange, Otto	92	122	351	419																																																																							
Langfeld	225																																																																										
Lanskoy	377																																																																										
Laserstein	43																																																																										
Lasker-Schüler	33																																																																										
Laskowsky	339																																																																										
Lasser	291	292																																																																									
Lassert	308																																																																										
Lattner	33	236	237	430																																																																							
Lauckner-Thun	218																																																																										
Laurencin	445																																																																										
Laurenz	419																																																																										
Lauterbach	138	139																																																																									
Lavierow	478																																																																										
Laves	101	308																																																																									
Léger	66	160	292	377	419																																																																						
Legrand	377																																																																										
Lehmbruck	22	33	34	56	66	67	92	112	116	139	150	160	179	213	235	264	283	292	327	333	351	358	364	377	386	389	394	397	430	439	445	459	472																																										
Leithäuser	150																																																																										
Lenigret Mallöwitz	218																																																																										
Lesser	112																																																																										
Leonhard	358																																																																										
Lehs	430																																																																										
Leves	405																																																																										
Levin	139																																																																										
Levy	34	99	139	179	213	264	328	430	439	459																																																																	
Lewerenz	47	104	122																																																																								
Lichte	292																																																																										
Lichtenberger	389																																																																										
Liebermann	22	34	116	179	389																																																																						
Liebhart	378																																																																										
Liel	400																																																																										
Lilienfeld	202	213																																																																									
Lindemann	139																																																																										
Lindgens	328	459	465																																																																								
Lippert	285																																																																										
Lippmann	213																																																																										
Lismann	202	213	351	409																																																																							
Lissitzki	179	245	292	351	378	430	459	460	478																																																																		
Lissmann	213																																																																										
List	462																																																																										
Lohse-Wächter	10	264	278																																																																								
Lomnitz	160																																																																										
Lorenz	247	264																																																																									
Loviscach	472																																																																										
Löhe	472																																																																										
Lörcher	439																																																																										
Löwengard	264																																																																										
Luckner	104																																																																										
Ludwig	203																																																																										
Ludwig	139																																																																										
Luethy	123																																																																										
Lursat	419																																																																										
Lüdecke	116	123																																																																									
Mach	104																																																																										
Macke, A	7	34	47	52	67	104	139	150	179	213	264	285	292	304	305	328	344	351	386	397	460	472																																																					
Macke, H	213																																																																										
Macon	225	472																																																																									
Maetzel	265																																																																										
Mahlau	318	430																																																																									
Mahr	203																																																																										
Maier	328																																																																										
Malakowski	225																																																																										
Mallek	400																																																																										
Maly	389																																																																										
Malzburg	139																																																																										
Man Ray	179																																																																										
Marc	22	34	47	56	67	92	112	123	160	179	213	245	246	265	292	312	328	333	339	344	351	358	359	368	378	386	389	419	430	439	453	460	465	472	478																																								
Marc, Maria	439																																																																										
Marcussin	292																																																																										
de Marées	180																																																																										
Marcks	47	67	78	86	87	112	116	123	160	161	180	213	305	308	359	391	439	440	472																																																								
Marion	419																																																																										
Marffy	405																																																																										
Marks	101	328	453																																																																								
Marquardt	339																																																																										
Marten	225																																																																										
Martho	328																																																																										
Martini	139																																																																										
Masereel	47	52	87	140	225	292	308	316	359	378	472																																																																
Mascos	116	123																																																																									
Mataré	23	34	67	87	101	112	140	151	278	285	292	308	344	351	359	368	430	440	460	462																																																							
Mathey	161	351																																																																									
Matisse	56	87	180	213	292																																																																						
Maxen	308																																																																										
Maxon	389																																																																										
May	140	226	328	378	400	402	430	453																																																																			
May, Matth	472																																																																										
Mayer	203	213																																																																									
Mayershofer	222																																																																										
Mechlen	292																																																																										
Medem	430																																																																										
Meffert	43	328																																																																									
Meidner	23	34	67	78	96	113	140	180	213	245	265	292	313	328	351	359	364	378	419	431	465	473																																																					
Meier, Ruth	232																																																																										
Meier-Thur	161	247																																																																									
Meiser	462																																																																										
Meister	11	104																																																																									
Meister, Otto	123																																																																										
Melchers	344																																																																										
Meltzer	473																																																																										
Melzer	43	87	113	213	239																																																																						
Melzer, Moritz	431																																																																										
Mense	60	67	161	226	265	328	333	378	400	419	465																																																																
Mervelt	431																																																																										
Mesek	96	364	473																																																																								
Mette	34																																																																										
Mettel	43	378																																																																									
Metzel-Johannsen	265																																																																										
Metzinger	35																																																																										
Metzner	35																																																																										
Meyer	140	213	378	405																																																																							
Meyer, W	203																																																																										
Meyer, Gerd	409																																																																										
Meyer-Spelbrink	400																																																																										
Mez	222																																																																										
Michaelson	43																																																																										
Michel	368	453	460	473																																																																							
